observation_date,DCOILWTICO
11/05/2021,65.31
12/05/2021,65.96
13/05/2021,63.82
14/05/2021,65.32
17/05/2021,66.24
18/05/2021,65.49
19/05/2021,63.28
20/05/2021,61.95
21/05/2021,63.61
24/05/2021,66.13
25/05/2021,66.27
26/05/2021,66.41
27/05/2021,66.87
28/05/2021,66.31
31/05/2021,
01/06/2021,67.8
02/06/2021,68.79
03/06/2021,68.81
04/06/2021,69.57
07/06/2021,69.21
08/06/2021,70.11
09/06/2021,69.9
10/06/2021,70.34
11/06/2021,71
14/06/2021,70.94
15/06/2021,72.06
16/06/2021,72.03
17/06/2021,71.06
18/06/2021,71.64
21/06/2021,73.64
22/06/2021,73.15
23/06/2021,73.11
24/06/2021,73.31
25/06/2021,74.21
28/06/2021,72.98
29/06/2021,73.14
30/06/2021,73.52
01/07/2021,75.33
02/07/2021,75.37
05/07/2021,
06/07/2021,73.62
07/07/2021,72.22
08/07/2021,72.98
09/07/2021,74.56
12/07/2021,74.21
13/07/2021,75.24
14/07/2021,73.06
15/07/2021,71.67
16/07/2021,71.76
19/07/2021,66.45
20/07/2021,67.32
21/07/2021,70.26
22/07/2021,72.15
23/07/2021,72.24
26/07/2021,72.15
27/07/2021,71.68
28/07/2021,72.37
29/07/2021,73.62
30/07/2021,73.93
02/08/2021,71.31
03/08/2021,70.64
04/08/2021,68.19
05/08/2021,69.1
06/08/2021,68.26
09/08/2021,66.56
10/08/2021,68.33
11/08/2021,69.3
12/08/2021,69.12
13/08/2021,68.36
16/08/2021,67.44
17/08/2021,66.5
18/08/2021,65.36
19/08/2021,63.69
20/08/2021,62.25
23/08/2021,65.65
24/08/2021,67.5
25/08/2021,68.54
26/08/2021,67.42
27/08/2021,68.84
30/08/2021,69.28
31/08/2021,68.43
01/09/2021,68.63
02/09/2021,70.07
03/09/2021,69.34
06/09/2021,
07/09/2021,68.49
08/09/2021,69.36
09/09/2021,68.26
10/09/2021,69.82
13/09/2021,70.54
14/09/2021,70.53
15/09/2021,72.59
16/09/2021,72.69
17/09/2021,72.09
20/09/2021,70.41
21/09/2021,70.51
22/09/2021,72.37
23/09/2021,73.43
24/09/2021,74.18
27/09/2021,75.54
28/09/2021,75.44
29/09/2021,75.06
30/09/2021,75.22
01/10/2021,76.01
04/10/2021,77.68
05/10/2021,79.17
06/10/2021,77.66
07/10/2021,78.46
08/10/2021,79.55
11/10/2021,80.64
12/10/2021,80.75
13/10/2021,80.67
14/10/2021,81.43
15/10/2021,82.39
18/10/2021,82.62
19/10/2021,83.19
20/10/2021,84.4
21/10/2021,82.64
22/10/2021,84.53
25/10/2021,84.64
26/10/2021,85.64
27/10/2021,82.66
28/10/2021,82.78
29/10/2021,83.5
01/11/2021,84.08
02/11/2021,83.91
03/11/2021,80.82
04/11/2021,78.88
05/11/2021,81.25
08/11/2021,81.96
09/11/2021,84.12
10/11/2021,81.23
11/11/2021,81.47
12/11/2021,80.87
15/11/2021,80.85
16/11/2021,80.76
17/11/2021,78.32
18/11/2021,78.92
19/11/2021,76.11
22/11/2021,76.74
23/11/2021,78.32
24/11/2021,78.32
25/11/2021,
26/11/2021,
29/11/2021,69.88
30/11/2021,66.14
01/12/2021,65.44
02/12/2021,66.6
03/12/2021,66.39
06/12/2021,69.62
07/12/2021,71.94
08/12/2021,72.43
09/12/2021,70.87
10/12/2021,71.71
13/12/2021,71.19
14/12/2021,70.57
15/12/2021,70.89
16/12/2021,72.34
17/12/2021,70.93
20/12/2021,68.69
21/12/2021,71.1
22/12/2021,72.82
23/12/2021,73.89
24/12/2021,
27/12/2021,75.49
28/12/2021,76.01
29/12/2021,76.58
30/12/2021,76.83
31/12/2021,75.33
03/01/2022,75.99
04/01/2022,77
05/01/2022,77.83
06/01/2022,79.47
07/01/2022,79
10/01/2022,78.11
11/01/2022,81.17
12/01/2022,82.51
13/01/2022,81.97
14/01/2022,83.82
17/01/2022,
18/01/2022,85.42
19/01/2022,86.84
20/01/2022,86.29
21/01/2022,85.16
24/01/2022,84.48
25/01/2022,86.61
26/01/2022,88.33
27/01/2022,87.61
28/01/2022,87.67
31/01/2022,89.16
01/02/2022,88.22
02/02/2022,88.16
03/02/2022,90.17
04/02/2022,92.27
07/02/2022,91.25
08/02/2022,89.32
09/02/2022,89.57
10/02/2022,89.83
11/02/2022,93.1
14/02/2022,95.52
15/02/2022,92.07
16/02/2022,93.83
17/02/2022,91.78
18/02/2022,91.26
21/02/2022,
22/02/2022,92.11
23/02/2022,92.14
24/02/2022,92.77
25/02/2022,91.68
28/02/2022,96.13
01/03/2022,103.66
02/03/2022,110.74
03/03/2022,107.69
04/03/2022,115.77
07/03/2022,119.26
08/03/2022,123.64
09/03/2022,108.81
10/03/2022,105.93
11/03/2022,109.31
14/03/2022,103.22
15/03/2022,96.42
16/03/2022,94.85
17/03/2022,102.97
18/03/2022,104.69
21/03/2022,112.14
22/03/2022,111.03
23/03/2022,114.89
24/03/2022,114.2
25/03/2022,116.2
28/03/2022,107.55
29/03/2022,104.25
30/03/2022,107.81
31/03/2022,100.53
01/04/2022,99.32
04/04/2022,103.29
05/04/2022,101.98
06/04/2022,96.39
07/04/2022,96.05
08/04/2022,98.35
11/04/2022,94.22
12/04/2022,100.52
13/04/2022,104.26
14/04/2022,106.84
15/04/2022,
18/04/2022,108.24
19/04/2022,102.54
20/04/2022,102.56
21/04/2022,103.89
22/04/2022,102.86
25/04/2022,99.6
26/04/2022,102.62
27/04/2022,101.96
28/04/2022,105.47
29/04/2022,104.59
02/05/2022,105.18
03/05/2022,102.53
04/05/2022,107.84
05/05/2022,108.17
06/05/2022,109.72
09/05/2022,103.08
10/05/2022,99.74
11/05/2022,105.5
12/05/2022,106.15
13/05/2022,110.52
16/05/2022,114.07
17/05/2022,112.31
18/05/2022,109.67
19/05/2022,112.21
20/05/2022,112.63
23/05/2022,110.32
24/05/2022,112.55
25/05/2022,112.88
26/05/2022,116.19
27/05/2022,114.96
30/05/2022,
31/05/2022,114.38
01/06/2022,115.26
02/06/2022,116.88
03/06/2022,118.97
06/06/2022,118.41
07/06/2022,119.55
08/06/2022,121.94
09/06/2022,121.52
10/06/2022,120.73
13/06/2022,120.92
14/06/2022,118.92
15/06/2022,115.32
16/06/2022,117.56
17/06/2022,109.56
20/06/2022,
21/06/2022,110.49
22/06/2022,106.22
23/06/2022,105.75
24/06/2022,109.07
27/06/2022,111.44
28/06/2022,113.66
29/06/2022,111.65
30/06/2022,107.76
01/07/2022,110.3
04/07/2022,
05/07/2022,101.55
06/07/2022,100.31
07/07/2022,104.62
08/07/2022,106.78
11/07/2022,106.09
12/07/2022,97.69
13/07/2022,98.44
14/07/2022,97.79
15/07/2022,99.59
18/07/2022,104.48
19/07/2022,106.12
20/07/2022,104.45
21/07/2022,98.44
22/07/2022,97.71
25/07/2022,99.83
26/07/2022,97.74
27/07/2022,100.03
28/07/2022,99.11
29/07/2022,101.31
01/08/2022,96.59
02/08/2022,97.14
03/08/2022,93.25
04/08/2022,91.29
05/08/2022,91.77
08/08/2022,93.52
09/08/2022,93.18
10/08/2022,94.68
11/08/2022,97.02
12/08/2022,94.86
15/08/2022,92.24
16/08/2022,89.23
17/08/2022,90.85
18/08/2022,93.2
19/08/2022,93.55
22/08/2022,93.42
23/08/2022,96.46
24/08/2022,95.52
25/08/2022,93.33
26/08/2022,93.63
29/08/2022,97.4
30/08/2022,92.08
31/08/2022,90.09
01/09/2022,87.09
02/09/2022,87.29
05/09/2022,
06/09/2022,87.35
07/09/2022,82.5
08/09/2022,84.04
09/09/2022,87.27
12/09/2022,88.18
13/09/2022,87.84
14/09/2022,88.88
15/09/2022,85.72
16/09/2022,85.57
19/09/2022,86.15
20/09/2022,84.69
21/09/2022,83.38
22/09/2022,84.02
23/09/2022,79.07
26/09/2022,77.17
27/09/2022,78.91
28/09/2022,82.61
29/09/2022,81.78
30/09/2022,79.91
03/10/2022,84.05
04/10/2022,86.87
05/10/2022,88.22
06/10/2022,88.9
